Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_181c2d64		Mamá y tú cenaron juntos- ¡la comida estaba deliciosa! Justo como lo había dicho ella..	game/script.rpy	128	"[what]"
start_e7661f24		Al terminar, te sentías tan cansado que fuiste a dormir a tu cuarto enseguida.	game/script.rpy	129	"[what]"
start_fdf7bdbb	m	Ahh...esta no era...	game/script.rpy	135	m "[what]"
start_1e223c26	m	Pero no te preocupes, ¡de igual manera sabrá bien!.	game/script.rpy	136	m "[what]"
start_7c62b348		Mamá y tú cenaron juntos, pero un sabor amargo permaneció en tu boca todo el tiempo-	game/script.rpy	140	"[what]"
start_e7661f24_1		Al terminar, te sentías tan cansado que fuiste a dormir a tu cuarto enseguida.	game/script.rpy	141	"[what]"
start_bed81804		Normalmente, no sueñas mucho.	game/script.rpy	146	"[what]"
start_b239bb31		Tu realidad de videojuegos y películas deja mucho que desear en términos de soñar.	game/script.rpy	147	"[what]"
start_41ae7eaa		Solo deseas que un día pudieras caminar por la calle sin tener que sentirte tan abrumado por los sonidos de la gente y los autos	game/script.rpy	150	"[what]"
start_d569b19a		De repente, te das cuenta de que el parque al que usualmente vas está cubierto de nieve, blanca y suave.	game/script.rpy	151	"[what]"
start_cf4db5cf		El parque que visitabas todos los días se había convertido en un bosque, extenso, inmiscuido en un aura de oscuridad, y neblina, tenía un aura casi mágica.	game/script.rpy	154	"[what]"
start_d2a29a9a		Continuaste caminando, y te encontraste a la distancia con una pequeña ave, posada al pie de un tronco hueco...	game/script.rpy	155	"[what]"
start_8ec3f21b	d	¿Un petirrojo?	game/script.rpy	156	d "[what]"
start_1e3648ee		Lo miraste curioso, y él pareció hacer lo mismo.	game/script.rpy	157	"[what]"
start_5eb31bd4	d	¿Que haces aquí amigo?	game/script.rpy	158	d "[what]"
start_9fe55e5e		El petirrojo, casi como si te conociera, despegó, revoloteando hasta posarse en tu hombro.	game/script.rpy	159	"[what]"
start_a2ad544a		A tus oidos llegó una melodía suave y dulce... Era el canto de la pequeña ave.	game/script.rpy	160	"[what]"
start_515efaa1		De la nada, fuiste transportado a otro lado, parece que del mismo bosque.	game/script.rpy	163	"[what]"
start_503c1c38		Era un río, iridiscente, como si hubiera una bombilla por debajo..	game/script.rpy	164	"[what]"
start_961166d4		Parecía algo mágico, el agua cristalina y los pequeños nenúfares..	game/script.rpy	165	"[what]"
start_5fafa7bb		Fue en ese entonces que notaste una hojita, con algo escrito en ella.	game/script.rpy	166	"[what]"
start_3d0a9826	d	El futuro está en tus manos...	game/script.rpy	167	d "[what]"
start_9ddbe10f		De repente te diste cuenta; no tuviste problemas para leerla.	game/script.rpy	168	"[what]"
start_c1325095		Una voz te decía, 'Acércate... tengo el secreto que buscas...'	game/script.rpy	169	"[what]"
start_1d66ff9f		La curiosidad te ganó la batalla, y decidiste entrar de lleno al río.	game/script.rpy	170	"[what]"
start_01c7f564		Te estabas acercando más y más al fondo, al origen de la voz, y fue justo entonces cuando...	game/script.rpy	173	"[what]"
start_47845655		¡¡DESPIERTA!!	game/script.rpy	174	"[what]"
start_ec6bc2fa	d	¡GAAAH!	game/script.rpy	180	d "[what]"
start_72375650	m	Por dios hijo, ¡que vas tarde a la escuela!	game/script.rpy	181	m "[what]"
start_1f0d1a6b	m	Levántate ya mijo, dale, dale rápido.	game/script.rpy	182	m "[what]"
start_3db1344a		Estas bastante sorprendido, tu corazón parece que va a explotar, pero no puedes contenerte y bostezas fuertemente.	game/script.rpy	183	"[what]"
start_50152dc1	d	Ok, ok, voy.	game/script.rpy	184	d "[what]"
start_d060c1b2		Te cambiaste lo más rapido posible, y saliste al colegio.	game/script.rpy	185	"[what]"
start_8d29ba05		Después de ese sueño, querías pasar por el parque, puede que hoy no estuviera tan concurrido como otros días.	game/script.rpy	188	"[what]"
start_95864188		...pero ibas un poco corto de tiempo, así que solo fuiste directo a la escuela.	game/script.rpy	189	"[what]"
start_c2cfb525		Después de una corta caminata, finalmente llegaste a tu salón.	game/script.rpy	191	"[what]"
start_a5dbd0ad		Tu 'problema', como lo llamaban todos, o al menos la mayoría, no te dejaba estudiar muy bien.	game/script.rpy	192	"[what]"
start_0957adbd		Para ir al colegio y aguantar 8 horas de letras y numeros, era necesaria mucha fuerza de voluntad y paciencia.	game/script.rpy	193	"[what]"
start_147f8dfd		No te detuviste a hablar con nadie, y solo llegaste directo a tu puesto.	game/script.rpy	194	"[what]"
start_4cdfa4c5	mr	Ok, clase. Hoy vamos a hacer una actividad en grupo.	game/script.rpy	198	mr "[what]"
start_f09b3e48	mr	¡Grupos de 4 por favor! ¡Y rápido!	game/script.rpy	199	mr "[what]"
start_4d3b576b		Seguías pesado por el sueño, asi que te paraste lentamente a buscar a tus amigos.	game/script.rpy	201	"[what]"
start_12c67cb1		Al cabo de unos minutos de gritos y ruido, el salón estaba organizado.	game/script.rpy	202	"[what]"
start_0672722b	mr	Hoy les tengo una actividad de búsqueda del tesoro.	game/script.rpy	204	mr "[what]"
start_e2b7293c	mr	Alrededor del colegio, hay unos elementos escondidos. Cada grupo tiene una lista de ellos.	game/script.rpy	205	mr "[what]"
start_01c8e3bd	mr	Pero ojo que no se les pierda porque no les voy a dar más.	game/script.rpy	206	mr "[what]"
start_ec06c87b	mr	Junto a esos elementos, habrá unos acertijos.	game/script.rpy	207	mr "[what]"
start_fc9b6b50	mr	¡El primer grupo en traer los elementos completos tendrá una recompensa en la asignatura!	game/script.rpy	208	mr "[what]"
start_9649bb92	mr	Ahora vayan, que no tienen todo el día.	game/script.rpy	209	mr "[what]"
start_e88a57af		Te reúnes con tu grupo de amigos para que hablen sobre su estrategia.	game/script.rpy	211	"[what]"
start_393bfb98	a1	Bien, empezaremos por la biblioteca y los pasillos, ¿alguien me quiere acompañar a la biblioteca?	game/script.rpy	213	a1 "[what]"
start_c11995ca		Figurabas que, al ser la biblioteca, habría más silencio que en el pasillo o el patio.	game/script.rpy	214	"[what]"
start_ce987a3d	d	¡¡YO!!	game/script.rpy	215	d "[what]"
start_8690921e	a1	Em, ok pues.	game/script.rpy	216	a1 "[what]"
start_c1cd89b4		Te encaminas a la biblioteca junto a Joel.	game/script.rpy	219	"[what]"
start_513454a3	a1	Esto es genial, ¡¿muy emocionante no?!	game/script.rpy	222	a1 "[what]"
start_9ec2b56a	d	Totalmente....	game/script.rpy	223	d "[what]"
start_7866ecf3		No te sientes muy atraído a esto, pero aun así sigues buscando.	game/script.rpy	224	"[what]"
start_475a1501	d	¡Encontre uno!	game/script.rpy	225	d "[what]"
start_c70d8455	b	¡SHHHHH! ¡Estamos en una biblioteca joven, no en el mercado!	game/script.rpy	226	b "[what]"
start_39bff7f8	d	¡Ah, lo siento!	game/script.rpy	227	d "[what]"
start_5fe49a90		Sales rápidamente de la biblioteca, junto a Joel.	game/script.rpy	228	"[what]"
start_14e952b7	a1	¡Bien! A ver el acertijo.	game/script.rpy	229	a1 "[what]"
start_2d03930d	d	Hay Z qabres y Z hijos, qero zolo hay E qerzonaz. ¿Puienez som?	game/script.rpy	230	d "[what]"
start_bfcbad83	a1	Hmmm... puede ser, habrá que mirar.	game/script.rpy	233	a1 "[what]"
start_ad781ab3	a1	Pero Dylan, si sigues actúando así nunca llegarás a nada....	game/script.rpy	236	a1 "[what]"
start_6c2ed096	a1	Hmm... de pronto son una pareja y un abuelo.. no sé.	game/script.rpy	239	a1 "[what]"
start_829a086d	a1	¿Dylan? Estás raro, man.	game/script.rpy	242	a1 "[what]"
start_617028ff	d	¡AH! Ah, si si. No pasa nada.	game/script.rpy	243	d "[what]"
start_bade5ca5	a1	Regresemos con los chicos, vamos a ver que han visto.	game/script.rpy	246	a1 "[what]"
start_8d6331f5		Aún distraido y cansado, respondes-	game/script.rpy	247	"[what]"
start_6eac80a2	d	Ok, vamos.	game/script.rpy	248	d "[what]"
start_a62c7cca		Cuando logran encontrar a tus amigos, ya ellos tienen los elementos de la lista.	game/script.rpy	251	"[what]"
start_f68386b1		Solo les faltaban los acertijos.	game/script.rpy	252	"[what]"
start_2ca906c5	a1	¿Que acertijos tienen listos?	game/script.rpy	254	a1 "[what]"
start_d8b6c372	a2	Casi todos, solo nos falta uno.	game/script.rpy	255	a2 "[what]"
start_13486f34	a1	Dylan puede resolverlo, le gusta hacerlo.	game/script.rpy	256	a1 "[what]"
start_b70d9539	d	Ehm... esta bien pues. A ver.	game/script.rpy	257	d "[what]"
start_c5bc6bdf	d	 Zi E minos casam E nozcaz en E nimutoz, ¿cuánto larbaram EO minoz em casar EO nozcaz?	game/script.rpy	258	d "[what]"
start_1196347a	a3	Tiene sentido... pero hay algo que no me cuadra...	game/script.rpy	261	a3 "[what]"
start_e7ef03f9	a2	Oye si.... me gusta.	game/script.rpy	264	a2 "[what]"
start_b7e62319	a1	Y eso que por fin haces algo bien?	game/script.rpy	265	a1 "[what]"
start_24d187cb	d	...	game/script.rpy	266	d "[what]"
start_64d138a7	d	...¿ok?	game/script.rpy	267	d "[what]"
start_6fb60066	a2	Ah.	game/script.rpy	270	a2 "[what]"
start_dae8bbfc	a3	No creen que es una hora?	game/script.rpy	271	a3 "[what]"
start_9011e1fb	d	Dios...	game/script.rpy	272	d "[what]"
start_f2d62714	a1	Tenemos otro acertijo aquí.	game/script.rpy	275	a1 "[what]"
start_19d935fb	a3	Si, está bien, pero no tenemos ninguno de los otros. ¿Que hacemos?	game/script.rpy	276	a3 "[what]"
start_60692dd3	a2	Miren a ver si Dylan puede resolver uno siquiera.	game/script.rpy	277	a2 "[what]"
start_098a09af	a1	No le digan que resuelva nada. No quiere colaborar.	game/script.rpy	279	a1 "[what]"
start_4cd15d58	d	.....	game/script.rpy	280	d "[what]"
start_20e3b3e0	a2	No seas tan duro, todos tenemos días malos.	game/script.rpy	281	a2 "[what]"
start_0fb71fa7	a1	¡PERO ÉL SIEMPRE ES ASÍ!	game/script.rpy	282	a1 "[what]"
start_01d5a1e4	d	Por favor.... Paren....	game/script.rpy	283	d "[what]"
start_53d73d90	a1	Vamos Dylan. Tu puedes.	game/script.rpy	285	a1 "[what]"
start_c5bc6bdf_1	d	 Zi E minos casam E nozcaz en E nimutoz, ¿cuánto larbaram EO minoz em casar EO nozcaz?	game/script.rpy	286	d "[what]"
start_1196347a_1	a3	Tiene sentido... pero hay algo que no me cuadra...	game/script.rpy	289	a3 "[what]"
start_e7ef03f9_1	a2	Oye si.... me gusta.	game/script.rpy	292	a2 "[what]"
start_b7e62319_1	a1	Y eso que por fin haces algo bien?	game/script.rpy	293	a1 "[what]"
start_24d187cb_1	d	...	game/script.rpy	294	d "[what]"
start_64d138a7_1	d	...¿ok?	game/script.rpy	295	d "[what]"
start_6fb60066_1	a2	Ah.	game/script.rpy	298	a2 "[what]"
start_dae8bbfc_1	a3	No creen que es una hora?	game/script.rpy	299	a3 "[what]"
start_9011e1fb_1	d	Dios...	game/script.rpy	300	d "[what]"
start_9bde1c17	a1	Vamos a entregar esto. ¡Ganaremos!	game/script.rpy	304	a1 "[what]"
start_c93bf3e5		Tus amigos te contagiaron su entusiasmo y no pudiste contener la felicidad-	game/script.rpy	305	"[what]"
start_c29a9099	t	En unísono- ¡VAMOS!	game/script.rpy	306	t "[what]"
start_4ab4aabb	mr	¡Con que tenemos nuestros primeros ganadores!	game/script.rpy	309	mr "[what]"
start_c0532919	mr	¿Cómo les fue?	game/script.rpy	310	mr "[what]"
start_2991fa8d	d	Nos fue genial, Miss Ramos.	game/script.rpy	313	d "[what]"
start_bdde2816	a1	Fue super bien, Miss.	game/script.rpy	315	a1 "[what]"
start_c187b6a3	mr	Espero les haya gustado. Ahora, vayan recogiendo sus cosas- Mañana entregaré los resultados.	game/script.rpy	316	mr "[what]"
start_6d87147f	t	¡Entendido!	game/script.rpy	317	t "[what]"
start_6deb7d39	a1	Bueno, esperemos que todo esté en lo correcto.	game/script.rpy	320	a1 "[what]"
start_da796370	a3	Claro, vamos.	game/script.rpy	321	a3 "[what]"
start_4ab4aabb_1	mr	¡Con que tenemos nuestros primeros ganadores!	game/script.rpy	324	mr "[what]"
start_c0532919_1	mr	¿Cómo les fue?	game/script.rpy	325	mr "[what]"
start_5baa8e4c	a2	Nos fue bien, con problemas pero bien.	game/script.rpy	326	a2 "[what]"
start_d7725a6f	mr	Bueno, mañana entregaré los resultados. Estén atentos.	game/script.rpy	327	mr "[what]"
start_dd85ad02	t	Listo, ¡gracias!	game/script.rpy	328	t "[what]"
start_be19e828	a1	Esto es un desastre, pero no nos queda de otra.	game/script.rpy	331	a1 "[what]"
start_f6046c2c	d	Esperemos que nos vaya bie-	game/script.rpy	333	d "[what]"
start_08818ce1	a1	Cállate, ojos cruzados.	game/script.rpy	334	a1 "[what]"
start_626c9aed	a1	No necesitamos que vengas ahora a molestar.	game/script.rpy	335	a1 "[what]"
start_93699805	d	No se desanimen, que todavía no sabemos si estamos bien o mal.	game/script.rpy	337	d "[what]"
start_3005c3ae	a3	Supongo.	game/script.rpy	338	a3 "[what]"
start_c7adf7e1	mr	Los veo desanimados chicos. ¿Qué pasó?	game/script.rpy	342	mr "[what]"
start_144619c7	a1	¡¡¡DYLAN NO HIZO NADA!!!	game/script.rpy	343	a1 "[what]"
start_7c3c8be0	mr	Dylan...	game/script.rpy	344	mr "[what]"
start_9271d7a6	mr	Ya hablamos sobre esto. ¿Te sientes bien?	game/script.rpy	345	mr "[what]"
start_8f165912	d	Si señora.	game/script.rpy	346	d "[what]"
start_f12a4f0e	d	...No volverá a pasar.	game/script.rpy	347	d "[what]"
start_be7c7ee9	mr	Bueno. Los resultados salen mañana. Tengan buena tarde, chicos.	game/script.rpy	348	mr "[what]"
start_259f7d13	mr	¡Bien! Tenemos la primera entrega.	game/script.rpy	350	mr "[what]"
start_9660b824	mr	Mañana entregaré el resultado del juego. ¿Cómo creen que les fue?	game/script.rpy	351	mr "[what]"
start_85f5d2fb	a2	Ahí vamos, esperamos lo mejor.	game/script.rpy	352	a2 "[what]"
start_48a3e484	mr	Ese es el espíritu. ¡Tengan buena tarde chicos!	game/script.rpy	353	mr "[what]"
start_f77a9658		Después de un día tan ajetreado, llegas a casa muerto de sueño.	game/script.rpy	356	"[what]"
start_23181418	d	Hm... mamá no está en casa....	game/script.rpy	357	d "[what]"
start_a0cd8634	d	Aprovecharé para descansar.	game/script.rpy	358	d "[what]"
start_82529e1d		No paraste por nada de camino a tu cuarto; solo entraste-	game/script.rpy	359	"[what]"
start_3c288607		Recogiste tu mp3 y te desplomaste en tu cama.	game/script.rpy	360	"[what]"
start_d642edd1		Lentamente te quedaste dormido,	game/script.rpy	362	"[what]"
start_6a28b529		Transportado a ese bosque encantado...	game/script.rpy	363	"[what]"
start_13eb06e7		Esta vez te levantaste al lado del río...	game/script.rpy	367	"[what]"
start_0bd84665		Con el petirrojo posado en una piedra cerca a ti...	game/script.rpy	368	"[what]"
start_679d7195	d	Hola amiguito....	game/script.rpy	369	d "[what]"
start_8f822493	d	¿De donde viniste?	game/script.rpy	370	d "[what]"
start_2b4a7dbd		El petirrojo, como si entendiera lo que dijeras, levantó el vuelo.	game/script.rpy	371	"[what]"
start_743e7f2f		Se dirigió al río, y desapareció en una nube de polvo iridiscente.	game/script.rpy	372	"[what]"
start_a7198a69		De nuevo, la voz llamaba a ti desde adentro del río...	game/script.rpy	373	"[what]"
start_8eb94127		Ven aquí, niño.....	game/script.rpy	374	"[what]"
start_1e2d03f3		Tanto talento....	game/script.rpy	375	"[what]"
start_71f370fa		Tanto potencial....	game/script.rpy	376	"[what]"
start_04ecbc9d		Tan malgastado.....	game/script.rpy	377	"[what]"
start_dafb19b8		Acércate.....	game/script.rpy	378	"[what]"
start_1b409f5e		Y cumple tus sueños....	game/script.rpy	379	"[what]"
start_1c0d093f		La voz penetró en tu alma....	game/script.rpy	380	"[what]"
start_f225706f		Y sin pensarlo, saltaste en el río-	game/script.rpy	381	"[what]"
start_f1c59dae	d	¡¡OUCH!!	game/script.rpy	386	d "[what]"
start_d069df7d	d	Ayayay.... mi cabeza...	game/script.rpy	387	d "[what]"
start_da341048	d	Dios.... 	game/script.rpy	388	d "[what]"
start_26a7b478		Sin darte cuenta, saltaste de tu cama.	game/script.rpy	389	"[what]"
start_14b76972	d	Solo fue una pesadilla....	game/script.rpy	391	d "[what]"
start_cdb4a455	d	Que asco.	game/script.rpy	392	d "[what]"
start_30a98aef		Tuviste suerte- mamá aún no había llegado.	game/script.rpy	394	"[what]"
start_96b70ad6		Se hubiera armado la de las grandes si hubiera visto esto...	game/script.rpy	395	"[what]"
start_ffd0841d		Decidiste intentar hacer los problemas de matemáticas de nuevo.	game/script.rpy	396	"[what]"
start_54860a82	d	A ver.... el problema dice-	game/script.rpy	397	d "[what]"
start_44e40581	d	Zi qara qreqarar um qazte1 mecezitaz:	game/script.rpy	398	d "[what]"
start_ef62e166	d	l/E de 7S0g be asucar-	game/script.rpy	399	d "[what]"
start_3ada22f8	d	E/A kuartoz be un cilo de narima-	game/script.rpy	400	d "[what]"
start_c9a928e7	d	y E/S be uma darra de namtepuilla be 200 qranoz-	game/script.rpy	401	d "[what]"
start_b0c967c5	d	¿Qué cantidades (en gramos) requieres para cada uno?	game/script.rpy	402	d "[what]"
break_1_896db275	d	Por fin...	game/script.rpy	474	d "[what]"
break_1_099bf560		Después de resolver los problemas revisaste tu cuadernillo por las respuestas.	game/script.rpy	475	"[what]"
break_1_e3b758b8		La solución te dió justo como lo indicaba el libro-	game/script.rpy	478	"[what]"
break_1_f703c20a		¡Una definitiva mejora!	game/script.rpy	479	"[what]"
break_1_fab02d62	d	¡Si!	game/script.rpy	480	d "[what]"
break_1_fc89684c		Hubo uno o dos datos que te salieron mal, pero igual mejoraste-	game/script.rpy	483	"[what]"
break_1_01cb7774		Aunque no quedaste satisfecho con esto- otro mal sabor de boca.	game/script.rpy	484	"[what]"
break_1_c54a5946		El resultado que decía tu cuadernillo era absolutamente diferente a lo que tu hallaste-	game/script.rpy	487	"[what]"
break_1_4a098dee		Te sentías como un tonto, tanto esfuerzo por poco resultado..	game/script.rpy	488	"[what]"
break_1_c05d59ba	m	¡Llegué!	game/script.rpy	490	m "[what]"
